Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
Give the wrong answer. In the iron-sulphur proteins ;One or more iron atoms are co-ordinated to inorganic sulphur;Cysteine residues contribute in the coordination of the iron;Histidine residues contribute in the coordination of the iron;Residues of cysteine and methionine contribute at the coordination of the iron;The electrons transport is ensured by the different state of oxidation of iron (Fe<sup>2+</sup> and Fe<sup>3+</sup>);Residues of cysteine and methionine contribute at the coordination of the iron;Biochemistry;EN;Set A [35 Qs - Midterm, Date Unknown];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-984;
What is the function of reverse transcriptase?;Synthesis of Okazaki fragments;RNA back transcription in DNA;Retroscription of RNA in cDNA;RNA transcription;None of the above;Retroscription of RNA in cDNA;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-985;
Which enzymes are involved in DNA replication?;DNA polymerase I;DNA polymerase III;Reverse transcriptase;DNA polymerase I and III, Elicase, Topoisomerase, Primase, Ligase;None of the above ;Reverse transcriptase;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-986;
Vitamins are often transformed into cells into active compounds. Which of the following vitamins comes transformed into an active compound with coenzyme function?;vitamin C;vitamin A;vitamin K;riboflavin;none of those indicated;riboflavin;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400‚Äì776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-987;
All the following gastrointestinal enzymes possess a proenzyme, except:;Trypsin;Ribonuclease;Chymotrypsin;Pepsin;Carboxypeptidase;Ribonuclease;Biochemistry;EN;Set K - [Large Italian Question Bank Part 1] - [126Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-988;
Which are the substrates used for RNA biosynthesis?;ribonucleoside diphosphates;di- and tri-phosphate ribonucleosides;ribonucleotides;ribonucleoside triphosphates;mono- and diphosphate ribonucleosides;ribonucleoside triphosphates;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400‚Äì776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-989;
In a diet rich in carbohydrates, which of the following processes takes place in adipose tissue with maximum activity?; β-oxidation of fatty acids; ex novo synthesis of fatty acids; gluconeogenesis; anaerobic glycolysis; glycogenolysis; ex novo synthesis of fatty acids;Biochemistry;EN;Set L - [Large Italian Question Bank Part 2] [151‚Äì399] [249Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-99;
In the pentose phosphate pathway the major products are:;Ribulose and ATP ;Ribulose and NADPH ;Ribose and NADH ;Ribose and NAD+ ;Xylulose and ATP;Ribulose and NADPH ;Biochemistry;EN;Set F [45qs 17/06/2019];2019;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-990;
Which of the following elements are substrates or products of the capping reaction at the end 5 'of mature eukaryotic mRNAs?;RNA with 5'-triphosphate ends;RNA with 5'-diphosphate end;GDP;GMP;RNA with 5 'hydroxylated end ;RNA with 5'-triphosphate ends;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-991;
As an enzyme catalyzes the formation of the covalent bond between the phosphate and the group hydroxyl of deoxyribose in the DNA molecule;helicase;DNA-polymerase;rna-polymerase;ligase;None of the above ;rna-polymerase;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-992;
Which technique is commonly used today for DNA sequencing?;The Maxam-Gilbert technique;Southern blotting;Sanger's technique;The Real-Time PCR;None of the above ;Sanger's technique;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-993;
Cellular chloride transport takes place:;by membrane carriers;against concentration gradient;for active transport;for passive transport;second electric gradient ;second electric gradient ;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-994;
The intake of 45 g of alcohol, corresponding to a glass (130 ml) of whiskey, represents a dose average intoxicant for a subject of 70 kg and a maximum blood concentration of ethanol corresponding to 100 mg / dl. Its speed of elimination from the blood follows:;second-order kinetics;first-order kinetics;no kinetics follows;a zero order kinetics;a sigmoid kinetics;second-order kinetics;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400‚Äì776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-995;
DNA replication is:;semiconservative;conservative;dispersive;semidispersiva;None of the above ;semiconservative;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-996;
"Which of the following sequences is not an important element in the ""splicing"" reactions that produce the mRNAs in eukaryotes?";sequence of 10 pyrimidines (U or C) at the 3 'end of the intron;sequence located on the intron between 20 and 50 nucleotides from the 5 'splicing site;sequence located on the intron at the 5 'splicing site;sequence located on the exon between 20 and 50 nucleotides from the 5 'splicing site;sequence located on the intron at the 3 'splicing site.;sequence located on the exon between 20 and 50 nucleotides from the 5 'splicing site;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400‚Äì776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-997;
Which of the following amino acids falls within the group of essential amino acids?;tryptophan;alanine;cysteine;spartic acid;serine;serine;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400‚Äì776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-998;
Acetylcholine esterase activity is inhibited by diisopropylfluorophosphate (DFP). Which amino acid residue, present in the active site, is involved in the inhibition mechanism?;lysine;glutamic acid;serine;thyroxine;None of the above ;serine;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-999;
The most common pleural neoplasms are:;Pleural mesthelioma;Localized fibrous tumour;Pleural angiosarcoma;Metastases originating from adenocarcinoma;None of the above;Metastases originating from adenocarcinoma;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Pleural tumours are relatively rare. Mesothelioma are the most common (https://www.sciencedirect.com/topics/medicine-and-dentistry/pleura-tumor);FII-LM41-1287;
Which of the following is not a common site of metastasis for pulmonary cancer?;Adrenal glands;Spleen;Liver;Brain;All of the above are not frequent sites of metastasis;Spleen;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;The liver, brain, and lungs are common sites of metastasis for any cancer because they are highly perfused. Specifically in the case of lung cancer, adrenal glands are also a fairly common site of metastasis, however reasons for this are unclear. Metastasis to the spleen is very rare.;FII-LM41-1288;
Pneumatoceles are typical of pneumonia caused by:;Streptococcus pneumoniae;Staphylococcus aureus;Pseudomonas aeruginosa;Klebsiella pneumoniae;None of the above;Staphylococcus aureus;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;A pneumatocele is a cavity in the lung parenchyma. Practically they are possible with many pathogens but Staph. aureus is the most likely among those here.;FII-LM41-1289;
Which of the following is not used to calculate the Wells Score used for diagnosis of pulmonary embolism?;Signs or symptoms of deep venous thrombosis;Pulmonary embolism is more likely than other possible differential diagnoses;Heart rate >100bpm;History of pulmonary embolism of deep venous thrombosis;Sepsis;Sepsis;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;The Wells Score does not include sepsis as a factor affecting the likelihood of pulmonary embolism.;FII-LM41-1290;
In the diagnostic algorithm of pulmonary neoplasia:;A CT scan of the thorax is not always necessary;Bone scintigraphy is always necessary to identify sites of metastasis;It is usually helpful to carry out a fibrobronchoscopy for diagnosis/staging;Biopsy of a central lesion should be carried out using ultrasound-guided needle aspiration;All of the above;It is usually helpful to carry out a fibrobronchoscopy for diagnosis/staging;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;This question is rather cruel. A CT scan of the thorax is the diagnostic method of choice. Perhaps there are rare cases in which it is not necessary in order to establish a diagnosis (e.g. a very conclusive X-ray). The other options are egregiously false (biopsy using fibrobronchoscopy should be used to sample central lesions).;FII-LM41-1291;
Pancoast syndrome is a type of lung tumour localised in:;The middle lobe;The hilum;At the apex of the lung;In the paramediastinum;In the abdomen;At the apex of the lung;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Pancoast tumour is a peripheral bronchial carcinoma which develops at the apex of the lung.;FII-LM41-1292;
The point of equilibrium of the thoracic-pulmonary system is reached in what capacity?;Vital Capacity;Total lung capacity;Forced vital capacity;Inspiratory capacity;Functional residual capacity;Functional residual capacity;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;The FRC represents the point of the breathing cycle where the lung tissue elastic recoil and chest wall outward expansion are balanced and equal. (https://www.ncbi.nlm.nih.gov/books/NBK500007/);FII-LM41-1293;
Lymphocytic alveolitis with CD8 positive cells in the BAL fluid is indicative of:;Pneumoconiosis;Asbestosis;Infection with Diplococcus;Sarcoidosis;Extrinsic allergic alveolitis;Extrinsic allegic alveolitis;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Extrinsic allergic alveolitis (also called hypersensitivity pneumonitis) is a syndrome caused by repeated inhalation of antigens. It is characterised by excessive accumulation of CD8 positive lymphocytes.;FII-LM41-1294;
With regards to the physiopathology of atherosclerosis, which of the following statements is incorrect?;The endothelial damage represents the primum movens in the formation of the atherosclerotic lesion;The smooth muscle cells involved in the development of the atherosclerotic lesions undergo a phenotypic switch that renders the synthesis of collagen possible (??);B lymphocytes are mainly involved in the formation of atherosclerotic lesions;Coronary imaging techniques that allow atherosclerotic plaques to be characterised include IVUS and OCT;The fibrous cap of the atherosclerotic plaque contains muscle cells, macrophages, lymphocytes, collagen, elastin, and proteoglycans.;B lymphocytes are mainly involved in the formation of atherosclerotic lesions;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1295;
Which of the following genes is not associated with hypertrophic cardiomyopathy?;MYH7;MYBPC3;PPP193;TNNT2;ACTC;PPP193;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;MYH7 and MYBPC3 are the two most common causes of hypertropic cardiomyopathy. ACTC codes for a form of actin, TNNT2 for a form of cardiac troponin. PPP193 may not be a real gene.;FII-LM41-1296;
Which of the following conditions usually identifies cardiogenic shock?;Cardiac index > 2L/min/m<sup>2</sup> and pulmonary capillary wedge pressure > 18 mmHg;Cardiac index > 2L/min/m<sup>2</sup> and pulmonary capillary wedge pressure < 18 mmHg;Cardiac index < 2L/min/m<sup>2</sup> and pulmonary capillary wedge pressure > 18 mmHg;Cardiac index < 2L/min/m<sup>2</sup> and pulmonary capillary wedge pressure < 18 mmHg;None of the above;Cardiac index < 2L/min/m<sup>2</sup> and pulmonary capillary wedge pressure > 18 mmHg;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;A normal pulmonary wedge pressure 4 to 12 mmHg, and a normal cardiac index 2,5 to 4 L/min/m<sup>2</sup>. Patients with cardiogenic shock usually have a low cardiac index (<2.2 L/min/m<sup>2</sup>) and elevated ventricular filling pressures (ie, pulmonary capillary wedge pressure [PCWP] >15 mmHg and/or central venous pressure [CVP] >10 mmHg).;FII-LM41-1297;
During an endocavitary electrophysiology study:;Three or four multiple catheters are advanced towards the femoral artery;The electrocatheters diagnostic are usually unipolar;The HV interval corresponds to the depolarization of the bundle of His and ventricular activation;A + B;None of the above;The HV interval corresponds to the depolarization of the bundle of His and ventricular activation;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;"Electrophysiology studies involve advancing cathers towards the heart, where multipolar catheters are used to gain information about the electrical transmission in the heart. The electrical readings should include a ""HV interval"" which represents conduction through the His-Purkinje system ";FII-LM41-1298;
Which of the following forms of atrial flutter is not correct:;"Right ""isthmus dependent"" (?) atrial flutter of anticlockwise type";"Scar-related ""not isthmus dependent"" right atrial flutter";Mitral annular flutter (orig. Left atrial flutter of the mitral annulus);Right atrial flutter, not isthmus dependent with superior circuit;Left atrial flutter following pulmonary vein isolation;"Right ""isthmus dependent"" (?) atrial flutter of anticlockwise type";Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1299;
When measuring arterial blood pressure with the Riva Rocci methods, which of the following errors may occur:;Overestimation of blood pressure in obese patients if a normal cuff is used;Underestimation of blood pressure in  obese patients if a normal cuff is used;"Overestimation of the ""esile"" child if an adult cuff is used";Both B and C;None of the above;Overestimation of blood pressure in obese patients if a normal cuff is used;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;This was proven by a study in the early 2000s. https://pmc.ncbi.nlm.nih.gov/articles/PMC1142484/;FII-LM41-1300;
Which of the following pathological conditions may be associated with functional mitral valve insufficiency?;Ischaemic cardiopathy;Heart failure with reduced ejection fraction;Fibroelastic deficiency;All of the above;A + B;A + B;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1301;
Which of the following statements about the ergometric test is false?;Chronotropic incompetence is the incapacity to reach an adequate heart rate;A test is considered adequate to value the coronary reserve if the double product is at least 35000 acme of the effort (????);In case of missing training, a rapid increase in heart rate is reported;The product of arterial blood pressure and heart rate is noted as double product;In normal conditions, the systolic blood pressure progressively increases with the effort whilst the diastolic remains unvaried or slightly modified ??;A test is considered adequate to value the coronary reserve if the double product is at least 35000 acme of the effort (????);Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1309;
Which of the following cases is not related to the new definition of chronic coronary syndrome?;Symptomatic patient (Angina/dyspnoea) with suspected arteriopathy coronary;Patient with reduced left ventricular function or cardiac decompensation of new source;Patients with chronic coronary disease of long duration;Patients with angina without stenosis of the epicardial coronary arteries;Patient with unstable angina;UNKNOWN!;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1310;
The patient with severe aortic insufficiency can present with the following at a physical exam:;Corrigan's pulse (ampio e celere);Traube's sign (double tono sulla femorale);Soffio sistolico aortico da stenosi relativa;All of the above;Only A + B;Only A + B;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1311;
According to the VASIS classification, loss of consciousness:;Type 3 is characterised by a vasodepressive response;Type 2A is cardio-inihibition with asystole;Type 1 is characterised by a mixed response of pressue and heart rate;All of the above;Only A + C;Only A + C;Cardiology and Respiratory Medicine;IT;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1312;
According to recent ESC guidelines on cardiac decompensation, which of the following statements is true?;Heart failure with preserved ejection fraction is defined as EF>60%;Increased levels of atrial natriuretic peptide is a necessary condition for diagnosis of heart failure with reduced ejection fraction;ACE inhibitors and beta-blockers are 2nd line treatments for heart failure with reduced ejection fraction;Rosiglitazone and pioglitazone are recommended in patients with heart failure and diabetes;None of the above;None of the above;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1313;
When diagnosing the site of a STEMI, ST elevation is seen in:;aVR, aVL, and lead III in extended anterior infarcts;Leads II, and III, and the aVF in inferior infarct;Leads I, II, and III in lateral infarcts;Leads V1 to V6 in septal infarcts;None of the above;Leads II, and III, and the aVF in inferior infarct;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1314;
Hereditary dilatative cardiomyopathy can be caused by genes coding for proteins from the following cellular structures:;Nuclear membrane;Sarcomere;Cytoskeleton;Mitochondria;All of the above;All of the above;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1315;
In the Rima-Trendelenburg manoeuvre:;The tourniquet is placed below the knee;The patient is placed in clinostatism and then in orthostatism;The patient is always and only placed in orthognatism;If the blood refluxes, it means that there is continence of the venous circulation;None of the above;The patient is placed in clinostatism and then in orthostatism;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1316;
Which of the following is a symptom/sign of chronic mesenteric ischaemia?;Fever;Angina abdominis;Sudden abdominal pain;Calo ponderale;B + D;B + D;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1317;
Which method is extremely useful in the diagnosis of obstruction of deep venous circulation?;Doppler;Echo colour doppler;Clinical signs;Flebografia interossea;None of the above;Echo colour doppler;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1318;
How often are abdominal aortic aneurysms associated with iliac artery aneurysms?;40%;10%;90%;Always;Never;10%;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1319;
Which of the following is not part of the diabetic foot treatment?;Application of moisturizing and emollient creams;Revascularization of the arteries of the lower limbs;Elastic compression;Use of specific footwear;A + D;Elastic compression;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1320;
What ankle-brachial index value indicates severe arterial disease?;ABI > 0.9;ABI 0.9 - 0.7;ABI 0.7 - 0.5;ABI < 0.5;None of the above;ABI < 0.5;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;The ABI compares blood pressure in the ankle to blood pressure in the arm. When low, it indicates a narrowing or blocking of arteries in the legs. Below 0.5 is very low and indicates a very severe narrowing.;FII-LM41-1321;
The injury of which of the following nerves is a complication contemplated during carotid thromboendarterectomy?;Vagus;Hypoglossal;Glossopharyngeal;All of the above;None of the above;None of the above;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1322;
The great saphenous vein originates:;Anteriorly to the medial malleolus;Anteriorly to the lateral malleolus;From the plantar surface of the foot;Posteriorly to the medial malleolus;Posteriorly to the lateral malleolus;Anteriorly to the medial malleolus;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1323;
Pneumatocoeles are typical of pneumonia caused by:;Streptococcus pneumoniae;Staphylococcus aureus;Pseudomonas aeruginosa;Klebsiella pneumoniae;None of the above;Staphylococcus aureus;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1326;
The Wells score for pulmonary embolism does not include:;Signs and symptoms of deep vein thrombosis (DVT);EP more likely than other differential diagnoses;Heart rate > 100 bpm;Previous DVT/PE;Sepsis;Sepsis;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1327;
In the diagnostic evaluation of lung neoplasms:;Chest CT is not always necessary;Bone scintigraphy is necessary to identify metastatic locations;Fiberoptic bronchoscopy is useful for diagnostic and staging purposes;Transthoracic CT-guided biopsy is performed for central lesions;All of the above;Fiberoptic bronchoscopy is useful for diagnostic and staging purposes;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1328;
The d-dimer:;Is released by activated platelets;Is a fibrin degradation product;Is an RNA oligomer;Is a specific marker for diagnosing pulmonary embolism;All of the above are false;Is a fibrin degradation product;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1330;
Lymphocytic alveolitis with CD8 cells in BAL fluid indicates:;Pneumoconiosis;Asbestosis;Infections caused by Diplococcus pneumoniae;Sarcoidosis;Extrinsic allergic alveolitis;Extrinsic allergic alveolitis;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1331;
Regarding rheumatic disease:;It presents early neurological symptoms;It is the most frequent cause of aortic stenosis;It is more common in the elderly;The most early manifestation is migratory polyarthritis;It follows an infection caused by Streptococcus aeureus;The most early manifestation is migratory polyarthritis;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Arthritis or arthralgia is normally the first sign of rheumatic fever, this is the case in around 60-80% of pateints. Rheumatic fever affects mostly younger patients, especially children. It is a complication of strep throat and is the most common cause of mitral stenosis.;FII-LM41-1332;
Which of the following is the most frequently identified causal gene in patients with hypertrophic cardiomyopathy?;Troponin I;Plakophilin-2;Heavy chain of myosin;Actin;Ryanodine receptor-2;Heavy chain of myosin;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;The most important mutations (over 50% over cases) affect the heavy chain of beta-myosin.;FII-LM41-1333;
Takotsubo cardiomyopathy:;Is characterized by hypertrophy of the basal interventricular septum;Is caused by mutations in genes encoding sarcomere proteins;Is more frequent in males;Is caused by acute release of catecholamines;Is characterized by asymmetric ventricular hypertrophy;Is caused by acute release of catecholamines;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Takotsubo cardiomyopathy doesn't involve hypertrophy, specific genetic factors are as yet unestablished, and it is observed more often in women. It is believed to be caused by an acute release of catecholamines.;FII-LM41-1334;
In endocavitary electrophysiological study:;Three or four multipolar catheters are advanced through the femoral artery;Diagnostic electrocatheters are usually unipolar;The H-V interval corresponds to the interval between the depolarization of the His bundle and ventricular activation;A + B;None of the above;Three or four multipolar catheters are advanced through the femoral artery;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1335;
Which of the following forms of atrial flutter is not correct?;Right isthmus-dependent counterclockwise atrial flutter (uncommon);Scar-related non-isthmus-dependent right atrial flutter;Left atrial flutter at the mitral annulus;Right non-isthmus-dependent atrial flutter with a superior circuit;Left atrial flutter of the pulmonary veins;Right isthmus-dependent counterclockwise atrial flutter (uncommon);Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1336;
When measuring arterial blood pressure with the Riva Rocci method, these errors may occur:;Overestimation in obese patients if a conventional cuff is used;Underestimation in obese patients if a conventional cuff is used;Overestimation in a thin child if an adult cuff is used;B and C;None of the above;Overestimation in obese patients if a conventional cuff is used;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1337;
Which of the following pathological conditions may be associated with the presence of functional mitral insufficiency?;Ischemic heart disease;Heart failure with reduced ejection fraction;Fibroelastic deficiency;All of the above;A + B;All of the above;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1338;
Regarding pulmonary embolism:;D-dimer measurement is the gold standard test for diagnosis;Thrombolysis is indicated in cases of hemodynamic instability;Unfractionated heparin is never indicated;Pulmonary CT angiography is almost never necessary;All of the above are true;Thrombolysis is indicated in cases of hemodynamic instability;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1339;
Which of the following cases is not included in the new definition of chronic coronary syndromes?;Symptomatic patient (angina/dyspnea) with suspected coronary artery disease;Patient with reduced left ventricular function or new-onset heart failure;Patient with long-duration chronic coronary disease;Patient with angina without stenosis of the epicardial coronary arteries;Patient with unstable angina;Patient with unstable angina;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1340;
According to the latest European guidelines on heart failure, which of the following statements is true?;Heart failure with preserved ejection fraction is defined by an EF greater than 60%;To diagnose heart failure with reduced ejection fraction, an increase in atrial natriuretic peptide levels is always necessary;ACE inhibitors and beta-blockers are second-line treatments for heart failure with reduced ejection fraction;Atrial fibrillation is more common in patients with heart failure with preserved ejection fraction than in those with heart failure with reduced ejection fraction;Rosiglitazone and pioglitazone are recommended in patients with heart failure and diabetes;Atrial fibrillation is more common in patients with heart failure with preserved ejection fraction than in those with heart failure with reduced ejection fraction;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1341;
Anderson-Fabry disease:;Is caused by infiltration of globotriaosylceramide (Gb3) in the interstitial space of the myocardium;Is caused by mutations in genes encoding desmosome proteins;Is transmitted as an autosomal recessive trait;Is caused by the accumulation of globotriaosylceramide (Gb3) within cells;None of the above is correct;Is caused by the accumulation of globotriaosylceramide (Gb3) within cells;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Anderson-Fabry diseases is caused by a mutation affecting lysosomal α-galactosidase. The resulting ineffective enzyme causes an accumulation of globotriaosylceramide inside lysosomes, and thus also inside cells. It is inherited in an X-linked manner.;FII-LM41-1342;
Sydenham's chorea:;In most cases, it becomes chronic;It is the earliest manifestation of rheumatic fever;It presents with involuntary jerky movements that disappear during sleep;It is never associated with rheumatic fever;B + C are true;It presents with involuntary jerky movements that disappear during sleep;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Verified;;;Sydenham's chorea is a LATE manifestation of rheumatic fever which generally resolves without treatment. It is characterised by jerking movements with do not occur as the patient sleeps.;FII-LM41-1343;
